,movie,imdb,votes,mpaa,genre,director,writer,actor,country,budget,box_office_wknd1,box_office_dom,box_office_gross,prod_company,runtime
509,Detroit,7.3,46744.0,R,Crime,Kathryn Bigelow,Mark Boal,John Boyega,USA,34000000.0,350190.0,16790139.0,23355100.0,Annapurna Pictures,143.0
510,Triple 9,6.3,64566.0,R,Action,John Hillcoat,Matt Cook,Casey Affleck,USA,20000000.0,6109085.0,12639297.0,23177948.0,Worldview Entertainment,115.0
511,The Shack,6.3,29702.0,PG-13,Drama,Stuart Hazeldine,John Fusco,Sam Worthington,USA,20000000.0,16172119.0,57386418.0,96942115.0,Summit Entertainment,132.0
512,Winchester,5.4,29496.0,PG-13,Biography,"Michael Spierig (as The Spierig Brothers), Peter Spierig (as The Spierig Brothers)",Tom Vaughan,Helen Mirren,Australia,3500000.0,9307626.0,25091816.0,44019588.0,CBS Films,99.0
513,Everybody Wants Some!!,6.9,51129.0,R,Comedy,Richard Linklater,Richard Linklater,Blake Jenner,USA,10000000.0,312355.0,3400278.0,4644472.0,Annapurna Pictures,117.0
514,Before I Fall,6.4,44926.0,PG-13,Drama,Ry Russo-Young,Maria Maggenti,Zoey Deutch,USA,5000000.0,4690214.0,12241122.0,16373843.0,Awesomeness Films,98.0
515,Life of the Party,5.6,32232.0,PG-13,Comedy,Ben Falcone,Melissa McCarthy,Melissa McCarthy,USA,30000000.0,17886075.0,53059911.0,65859911.0,New Line Cinema,105.0
516,The BFG,6.4,75893.0,PG,Adventure,Steven Spielberg,Melissa Mathison,Mark Rylance,USA,140000000.0,18775350.0,55483770.0,195243411.0,Walt Disney Pictures,117.0
517,Miss Sloane,7.5,62151.0,R,Drama,John Madden,Jonathan Perera,Jessica Chastain,France,13000000.0,59797.0,3500605.0,9797405.0,EuropaCorp,132.0
518,Concussion,7.1,85031.0,PG-13,Biography,Peter Landesman,Peter Landesman,Will Smith,UK,35000000.0,10513749.0,34542474.0,48623572.0,LStar Capital,123.0
519,A Dog's Purpose,7.2,63858.0,PG,Adventure,Lasse Hallström,W. Bruce Cameron,Josh Gad,USA,22000000.0,18222810.0,64508620.0,205736628.0,DreamWorks,100.0
520,Entourage,6.6,75199.0,R,Comedy,Doug Ellin,Doug Ellin,Adrian Grenier,USA,30000000.0,10283250.0,32363404.0,49263404.0,Warner Bros.,104.0
521,Wendy,5.7,1527.0,PG-13,Drama,Benh Zeitlin,Benh Zeitlin,Devin France,USA,6000000.0,26214.0,143518.0,144564.0,Fox Searchlight Pictures,111.0
522,Unsane,6.4,39199.0,R,Drama,Steven Soderbergh,Jonathan Bernstein,Claire Foy,USA,1500000.0,3762145.0,7732899.0,14293601.0,Fingerprint Releasing,98.0
523,Self/less,6.5,88100.0,PG-13,Action,Tarsem Singh,Àlex Pastor,Ryan Reynolds,USA,26000000.0,5403460.0,12279691.0,31807156.0,Gramercy Pictures (I),117.0
524,Beasts of No Nation,7.7,72078.0,Not Rated,Drama,Cary Joji Fukunaga,Cary Joji Fukunaga,Abraham Attah,USA,6000000.0,51003.0,90777.0,90777.0,Red Crown Productions,137.0
525,Café Society,6.6,69391.0,PG-13,Comedy,Woody Allen,Woody Allen,Jesse Eisenberg,USA,30000000.0,359289.0,11103205.0,43763247.0,Gravier Productions,96.0
526,UglyDolls,5.0,5387.0,PG,Animation,Kelly Asbury,Alison Peck,Kelly Clarkson,China,45000000.0,8603407.0,20150241.0,32450241.0,STX Entertainment,87.0
527,Ice Age: Collision Course,5.7,55333.0,PG,Animation,"Mike Thurmeier (as Michael Thurmeier), Galen T. Chu (co-director) (as Galen Tan Chu)",Michael J. Wilson,Ray Romano,USA,105000000.0,21373064.0,64063008.0,408579038.0,Blue Sky Studios,94.0
528,Sinister 2,5.3,47157.0,R,Horror,Ciarán Foy,Scott Derrickson,James Ransone,USA,10000000.0,10542116.0,27740955.0,53329150.0,Entertainment One,97.0
529,Me and Earl and the Dying Girl,7.7,121060.0,PG-13,Comedy,Alfonso Gomez-Rejon,Jesse Andrews,Thomas Mann,USA,8000000.0,196496.0,6758416.0,9074749.0,Fox Searchlight Pictures,105.0
530,Heist,6.1,27365.0,R,Action,Scott Mann,S. Cyrus Sepher,Robert De Niro,USA,8900000.0,28688.0,50136.0,3777046.0,Hannibal Classics,93.0
531,Smurfs: The Lost Village,6.0,17940.0,PG,Animation,Kelly Asbury,Stacey Harman,Demi Lovato,USA,60000000.0,13210449.0,45020282.0,197183546.0,Columbia Pictures,90.0
532,Insidious: The Last Key,5.7,50684.0,PG-13,Horror,Adam Robitel,Leigh Whannell,Lin Shaye,USA,10000000.0,29581355.0,67745330.0,167885588.0,Blumhouse Productions,103.0
533,Can You Ever Forgive Me?,7.1,45041.0,R,Biography,Marielle Heller,Nicole Holofcener,Melissa McCarthy,USA,10000000.0,161510.0,8803865.0,12442161.0,Archer Gray,106.0
534,Miss Bala,5.8,7672.0,PG-13,Action,Catherine Hardwicke,Gareth Dunnet-Alcocer,Gina Rodriguez,Mexico,15000000.0,6864744.0,15006824.0,15383580.0,Canana Films,104.0
535,Trumbo,7.5,75089.0,R,Biography,Jay Roach,John McNamara,Bryan Cranston,USA,15000000.0,74177.0,7857741.0,11430025.0,Bleecker Street Films,124.0
536,Ted 2,6.3,181099.0,R,Comedy,Seth MacFarlane,Seth MacFarlane,Mark Wahlberg,USA,68000000.0,33507870.0,81476385.0,215863606.0,Universal Pictures,115.0
537,Smallfoot,6.6,32295.0,PG,Animation,"Karey Kirkpatrick, Jason Reisig (co-director)",Karey Kirkpatrick,Channing Tatum,USA,80000000.0,23045635.0,83240103.0,214040103.0,Warner Animation Group,96.0
538,Midnight Sun,6.6,22063.0,PG-13,Drama,Scott Speer,Kenji Bando,Bella Thorne,USA,2800000.0,4003993.0,9561064.0,27365467.0,Boies / Schiller Film Group,91.0
